fileID,archiveID,setID,hash,modified,newest,entries,attr,size,compressed,method,name,path,volume,photo,dimensions,thumb,comment,warnings
178,178,1,,6/20/25 10:36,3/9/99 15:32,1038,0,86925312,86925312,Network,4cicloincontri.iso,https://archive.org/download/microsoft-technet-4cicloincontri,990309_1532,https://archive.org/download/microsoft-technet-4cicloincontri/technet%20incontri.png,,https://archive.org/download/microsoft-technet-4cicloincontri/technet%20incontri_thumb.jpg,,
716,716,1,,6/12/18 15:02,7/15/99 1:35,10561,0,528128000,528128000,FS,MSTN-CD034-9908BetaCD1.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,9908-BetaCD1,MSTN-CD034-9908BetaCD1.png,1512x1498,,,
135,135,1,,6/20/25 10:32,9/6/03 12:00,6725,0,439992320,439992320,Network,AB1PXFRE_EN.ISO,https://archive.org/download/ab-1-pxfre-en,AB1PXFRE_EN,https://archive.org/download/ab-1-pxfre-en/AB1XFRE_EN.jpg,,https://archive.org/download/ab-1-pxfre-en/AB1XFRE_EN_thumb.jpg,,
604,604,1,,6/20/25 10:56,9/6/03 12:00,6725,0,439992320,439992320,Network,Windows%20XP%2064-Bit%20Edition%20for%2064-Bit%20Extended%20Systems%20Beta.iso,https://archive.org/download/windows-xp-64-bit-edition-for-64-bit-extended-systems-beta,AB1PXFRE_EN,https://archive.org/download/windows-xp-64-bit-edition-for-64-bit-extended-systems-beta/x64cd.jpg,,https://archive.org/download/windows-xp-64-bit-edition-for-64-bit-extended-systems-beta/x64cd_thumb.jpg,,
749,749,1,,3/30/19 19:40,9/6/03 12:00,6725,0,439992320,439992320,FS,MSTN-CD112-AB1PXFRE_EN.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,AB1PXFRE_EN,MSTN-CD112-AB1PXFRE_EN.png,1495x1495,,,
725,725,1,,3/31/19 21:45,3/25/05 12:00,8369,0,595156992,595156992,FS,MSTN-CD177-ARMEFPP_EN.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,ARMEFPP_EN,MSTN-CD177-ARMEFPP_EN.png,1543x1504,,,
552,552,1,,6/20/25 10:52,5/4/05 6:19,12046,0,667207680,667207680,Network,2006-0697.ISO,https://archive.org/download/technetmegadump,ARMLFPP_EN2,https://archive.org/download/technetmegadump/2006-0697.png,,https://archive.org/download/technetmegadump/2006-0697_thumb.jpg,,
553,553,1,,6/20/25 10:53,5/11/05 21:52,5622,0,641669120,641669120,Network,2006-0698.ISO,https://archive.org/download/technetmegadump,ARMLFPP_EN3,https://archive.org/download/technetmegadump/2006-0698.png,,https://archive.org/download/technetmegadump/2006-0698_thumb.jpg,,
554,554,1,,6/20/25 10:53,5/4/05 6:27,194,0,300077056,300077056,Network,2006-0699.ISO,https://archive.org/download/technetmegadump,ARMLFPP_EN4,https://archive.org/download/technetmegadump/2006-0699.png,,https://archive.org/download/technetmegadump/2006-0699_thumb.jpg,,
525,525,1,,6/20/25 10:52,3/25/05 12:00,29,0,492306432,492306432,Network,2005-0285.ISO,https://archive.org/download/technetmegadump,ARMSP1_EN,https://archive.org/download/technetmegadump/2005-0285.png,,https://archive.org/download/technetmegadump/2005-0285_thumb.jpg,,
170,170,1,,6/20/25 10:35,11/9/05 2:00,13587,0,1182138368,1182138368,Network,BETA_EN_0208.08.iso,https://archive.org/download/microsoft-technet-0208.08-beta-evaluations-2005-12,BETA_EN_0208.08,https://archive.org/download/microsoft-technet-0208.08-beta-evaluations-2005-12/BETA_EN_0208.08.jpg,,https://archive.org/download/microsoft-technet-0208.08-beta-evaluations-2005-12/BETA_EN_0208.08_thumb.jpg,,
171,171,1,,6/20/25 10:36,12/12/05 6:03,13639,0,1969686528,1969686528,Network,BETA_EN_0208.09.iso,https://archive.org/download/microsoft-technet-0208.09-beta-evaluations-2006-01,BETA_EN_0208.09,https://archive.org/download/microsoft-technet-0208.09-beta-evaluations-2006-01/BETA_EN_0208.09.jpg,,https://archive.org/download/microsoft-technet-0208.09-beta-evaluations-2006-01/BETA_EN_0208.09_thumb.jpg,,
172,172,1,,6/20/25 10:36,1/9/06 0:01,68,0,5214500864,5214500864,Network,BETA_EN_0208.10.iso,https://archive.org/download/microsoft-technet-0208.10-beta-evaluations-2006-02,BETA_EN_0208.10,https://archive.org/download/microsoft-technet-0208.10-beta-evaluations-2006-02/BETA_EN_0208.10.jpg,,https://archive.org/download/microsoft-technet-0208.10-beta-evaluations-2006-02/BETA_EN_0208.10_thumb.jpg,,
905,905,1,,3/31/19 23:26,11/9/05 23:44,4482,0,428210176,428210176,FS,MSTN-CD194-BETA_EN_0223.05.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,BETA_EN_0223.05,MSTN-CD194-BETA_EN_0223.05.png,1543x1504,,,
861,861,1,,4/1/19 0:03,12/12/05 6:03,4529,0,475041792,475041792,FS,MSTN-CD202-BETA_EN_0223.06.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,BETA_EN_0223.06,MSTN-CD202-BETA_EN_0223.06.png,1543x1504,,,
898,898,1,,4/1/19 8:38,1/10/06 3:05,55,0,378062848,378062848,FS,MSTN-CD217-BETA_EN_0223.07.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,BETA_EN_0223.07,MSTN-CD217-BETA_EN_0223.07.png,1543x1504,,,
845,845,1,,4/1/19 13:02,3/6/06 8:41,61,0,425494528,425494528,FS,MSTN-CD231-BETA_EN_0223.08.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,BETA_EN_0223.08,MSTN-CD231-BETA_EN_0223.08.png,1543x1504,,,
620,620,1,,4/1/19 14:00,4/7/06 2:51,50,0,249059328,249059328,FS,MSTN-CD240-BETA_EN_0223.09.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,BETA_EN_0223.09,MSTN-CD240-BETA_EN_0223.09.png,1543x1504,,,
838,838,1,,4/1/19 14:44,5/9/06 1:29,55,0,253528064,253528064,FS,MSTN-CD248-BETA_EN_0223.10.iso,/Users/jeff/Library/CloudStorage/OneDrive-Personal/Software/Discs/Microsoft/TechNet,BETA_EN_0223.10,MSTN-CD248-BETA_EN_0223.10.png,1543x1504,,,
